Type,genome,place,individual,insectary_id,brood,court_cp,court_mp,total_courts,prop_melp,total_trials
F1,50,3,NA,224,C6,8,8,16,0.5,5
BM,75,4,13200,350,C4,1,15,16,0.9375,5
MP,100,5,NA,207,MP,0,16,16,1,5
CP,0,1,NA,598,CP,16,1,17,0.058823529,6
BC,25,2,13654,923,C37,17,0,17,0,5
BC,25,2,13650,929,C36,12,5,17,0.294117647,6
BC,25,2,13757,1058,C51,7,10,17,0.588235294,5
F1,50,3,NA,133,C6,5,12,17,0.705882353,5
F1,50,3,NA,178,C6,4,13,17,0.764705882,5
BC,25,2,13404,488,C21,14,4,18,0.222222222,7
BC,25,2,13549,780,C32,11,7,18,0.388888889,5
BC,25,2,13124,250,C7,9,9,18,0.5,5
F1,50,3,NA,117*,C6,1,17,18,0.944444444,5
BM,75,4,13105,227,C5,0,18,18,1,5
CP,0,1,NA,372,CP,16,3,19,0.157894737,6
BC,25,2,14053,1344,C84,16,3,19,0.157894737,5
BC,25,2,13385,496,C21,8,11,19,0.578947368,5
BM,75,4,13101,198,C5,4,15,19,0.789473684,5
BC,25,2,13564,698,C32,16,4,20,0.2,8
BC,25,2,13551,745,C32,15,5,20,0.25,5
BC,25,2,13316,437,C17,11,9,20,0.45,3
BC,25,2,13398,486,C18,9,11,20,0.55,5
BC,25,2,13078,148,C3,8,12,20,0.6,5
BC,25,2,13063,137,C3,7,13,20,0.65,5
BC,25,2,13182,294,C14,4,16,20,0.8,5
CP,0,1,NA,574,CP,17,4,21,0.19047619,7
BC,25,2,13292,414,C10,16,5,21,0.238095238,5
BC,25,2,13248,363,C18,22,0,22,0,5
F1,50,3,NA,145,C6,2,20,22,0.909090909,5
BC,25,2,13579,786,C32,12,11,23,0.47826087,6
BC,25,2,NA,790,c32,16,8,24,0.333333333,5
BC,25,2,13050,123,C3,13,12,25,0.48,5
F1,50,3,NA,204,C6,3,23,26,0.884615385,5
BC,25,2,13651,928,C36,20,7,27,0.259259259,6
BC,25,2,13206,280,C8,9,18,27,0.666666667,5
BC,25,2,13187,315,C14,21,7,28,0.25,5
BC,25,2,13649,914,C38,21,7,28,0.25,6
CP,0,1,NA,370,CP,26,3,29,0.103448276,5
BC,25,2,13320,475,C20,16,14,30,0.466666667,5
BC,25,2,13293,451,C10,20,12,32,0.375,5
MP,100,5,13293,453,MP,2,31,33,0.939393939,5
BC,25,2,13282,416,C10,36,5,41,0.12195122,5
MP,100,5,NA,480,MP,2,43,45,0.955555556,5
MP,100,5,NA,433,MP,5,54,59,0.915254237,5
