type,sample,brood,court_cp,court_mp,total_courts,prop_melp,total_trials
CP,NA,CP,16,3,19,0.157894737,6
BC,14053,C84,16,3,19,0.157894737,5
BC,13385,C21,8,11,19,0.578947368,5
BM,13101,C5,4,15,19,0.789473684,5
BC,13564,C32,16,4,20,0.2,8
BC,13551,C32,15,5,20,0.25,5
BC,13316,C17,11,9,20,0.45,3
BC,13398,C18,9,11,20,0.55,5
BC,13078,C3,8,12,20,0.6,5
BC,13063,C3,7,13,20,0.65,5
BC,13182,C14,4,16,20,0.8,5
CP,NA,CP,17,4,21,0.19047619,7
BC,13292,C10,16,5,21,0.238095238,5
BC,13248,C18,22,0,22,0,5
F1,NA,C6,2,20,22,0.909090909,5
BC,13579,C32,12,11,23,0.47826087,6
BC,NA,c32,16,8,24,0.333333333,5
BC,13050,C3,13,12,25,0.48,5
F1,NA,C6,3,23,26,0.884615385,5
BC,13651,C36,20,7,27,0.259259259,6
BC,13206,C8,9,18,27,0.666666667,5
BC,13187,C14,21,7,28,0.25,5
BC,13649,C38,21,7,28,0.25,6
CP,NA,CP,26,3,29,0.103448276,5
BC,13320,C20,16,14,30,0.466666667,5
BC,13293,C10,20,12,32,0.375,5
MP,13293,MP,2,31,33,0.939393939,5
BC,13282,C10,36,5,41,0.12195122,5
MP,NA,MP,2,43,45,0.955555556,5
MP,NA,MP,5,54,59,0.915254237,5
BC,13149,C8,0,0,0,NA,4
BC,13194,C10,0,0,0,NA,5
BC,13319,C18,0,0,0,NA,5
BC,13507,C32,0,0,0,NA,4
BC,13512,C32,0,0,0,NA,1
BC,13532,C32,0,0,0,NA,5
BC,13542,C32,0,0,0,NA,2
BC,13345,C10,0,0,0,NA,2
BC,13489,c32,0,0,0,NA,5
BC,13520,c34,0,0,0,NA,2
BC,13735,c38,0,0,0,NA,1
